average_goals_per_match,won_competition
2.422870462,1
2.824477516,1
0.571688038,0
1.055027667,0
0.394192269,0
0.754099232,0
0.962959667,0
1.994727613,0
0.456755473,0
0.525435057,0
1.891407683,0
1.018292157,0
2.641061388,1
1.081919124,0
1.584087989,0
1.587817681,0
2.459575476,1
1.170237541,0
2.821653731,1
2.05399727,0
0.451411638,0
1.486331674,0
2.023428035,0
2.843421156,1
2.18239352,0
2.508448909,1
1.514173157,0
1.460308,0
1.779336362,0
2.258397839,0
2.607770127,1
0.09945028,0
2.35292296,1
2.732122873,1
2.8009988,1
1.375195574,0
0.971946125,0
2.558268873,1
2.565131087,1
1.32548955,0
2.334994306,0
0.277073998,0
0.261170366,0
2.486403854,1
2.969708759,1
1.156309517,0
2.84905351,1
2.43635455,1
0.754363317,0
2.742626634,1
1.224594963,0
0.430516008,0
0.887394082,0
0.208938758,0
1.520957714,0
1.163998189,0
2.81519393,1
2.866950623,1
0.35201577,0
1.00306916,0
0.089511949,0
2.540442771,1
0.547311147,0
1.79477098,0
1.48085737,0
2.31644846,1
0.763619073,0
0.143390622,0
0.193967012,0
0.381415979,0
2.632311728,1
1.470286787,0
0.498301326,0
0.819245999,0
1.869586655,0
2.132291437,0
0.145980681,0
1.253342554,0
1.647209079,0
0.926896356,0
2.282348031,1
0.012578271,0
0.455925289,0
2.680673352,1
1.985915665,0
0.085881894,0
2.689432655,1
2.508641,1
2.45187147,1
1.238382828,0
2.284923233,1
0.101472759,0
0.533641322,0
1.73402536,0
2.180275628,0
2.642701936,1
0.388674174,0
2.226984467,0
1.045053442,0
2.216692543,0
